,D_home,GA_home,GD_home,GF_home,GP_home,L_home,Pts_home,W_home,team,year,D_away,GA_away,GD_away,GF_away,GP_away,L_away,Pts_away,W_away,ppg_away,ppg_home,ppg_home_away_diff,Avg_all,BTS_all,CS_all,FTS_all,GP_all,LTN_all,WTN_all,g_0.5+_all,g_1.5+_all,g_2.5+_all,g_3.5+_all,g_4.5+_all,g_5.5+_all,g_6.5+_all,Avg_home,BTS_home,CS_home,FTS_home,LTN_home,WTN_home,g_0.5+_home,g_1.5+_home,g_2.5+_home,g_3.5+_home,g_4.5+_home,g_5.5+_home,g_6.5+_home,Avg_away,BTS_away,CS_away,FTS_away,LTN_away,WTN_away,g_0.5+_away,g_1.5+_away,g_2.5+_away,g_3.5+_away,g_4.5+_away,g_5.5+_away,g_6.5+_away,Avg_htime,BTS_htime,CS_htime,FTS_htime,LTN_htime,WTN_htime,g_0.5+_htime,g_1.5+_htime,g_2.5+_htime,g_3.5+_htime,g_4.5+_htime,g_5.5+_htime,g_6.5+_htime,half_1_con,half_1_goal,half_2_con,half_2_goal,min_0-15_con,min_0-15_goal,min_16-30_con,min_16-30_goal,min_31-45_con,min_31-45_goal,min_46-60_con,min_46-60_goal,min_61-75_con,min_61-75_goal,min_76-90_con,min_76-90_goal
20,0,19,26,45,19,3,48,16,Manchester Utd,2013,5,24,17,41,19,2,41,12,2.16,2.53,0.37,3.39,0.58,0.34,0.08,38,0.08,0.34,1.0,0.82,0.63,0.42,0.26,0.11,0.08,3.37,0.58,0.37,0.05,0.05,0.37,1.0,0.84,0.74,0.42,0.21,0.11,0.05,3.42,0.58,0.32,0.11,0.11,0.32,1.0,0.79,0.53,0.42,0.32,0.11,0.11,1.63,0.29,0.66,0.26,0.05,0.45,0.79,0.47,0.21,0.08,0.03,0.03,0.03,17.0,45.0,26.0,41.0,7.0,17.0,6.0,16.0,4.0,12.0,15.0,11.0,3.0,14.0,8.0,16.0
21,3,15,26,41,19,2,45,14,Manchester City,2013,6,19,6,25,19,4,33,9,1.74,2.37,0.63,2.63,0.47,0.47,0.16,38,0.05,0.37,0.89,0.74,0.5,0.32,0.13,0.03,0.03,2.95,0.47,0.53,0.0,0.0,0.53,1.0,0.79,0.58,0.37,0.21,0.0,0.0,2.32,0.47,0.42,0.32,0.11,0.21,0.79,0.68,0.42,0.26,0.05,0.05,0.05,1.03,0.18,0.71,0.42,0.11,0.39,0.68,0.29,0.05,0.0,0.0,0.0,0.0,13.0,26.0,21.0,40.0,4.0,6.0,6.0,5.0,3.0,15.0,7.0,8.0,8.0,15.0,6.0,17.0
22,6,17,16,33,19,1,42,12,Everton,2013,9,23,-1,22,19,6,21,4,1.11,2.21,1.1,2.5,0.63,0.29,0.18,38,0.08,0.18,0.89,0.79,0.53,0.24,0.03,0.03,0.0,2.63,0.63,0.37,0.05,0.0,0.32,0.95,0.79,0.53,0.26,0.05,0.05,0.0,2.37,0.63,0.21,0.32,0.16,0.05,0.84,0.79,0.53,0.21,0.0,0.0,0.0,1.37,0.29,0.58,0.34,0.13,0.37,0.79,0.39,0.13,0.05,0.0,0.0,0.0,20.0,32.0,20.0,23.0,12.0,9.0,3.0,8.0,5.0,15.0,3.0,8.0,5.0,5.0,12.0,10.0
23,5,16,25,41,19,2,41,12,Chelsea,2013,4,23,11,34,19,5,34,10,1.79,2.16,0.37,3.0,0.58,0.37,0.13,38,0.05,0.29,0.92,0.79,0.61,0.37,0.18,0.08,0.03,3.0,0.53,0.42,0.16,0.05,0.32,0.89,0.74,0.53,0.37,0.26,0.11,0.05,3.0,0.63,0.32,0.11,0.05,0.26,0.95,0.84,0.68,0.37,0.11,0.05,0.0,1.42,0.24,0.68,0.29,0.08,0.47,0.79,0.45,0.16,0.03,0.0,0.0,0.0,15.0,39.0,24.0,36.0,7.0,9.0,4.0,14.0,4.0,16.0,7.0,10.0,7.0,13.0,10.0,13.0
24,5,23,24,47,19,3,38,11,Arsenal,2013,5,14,11,25,19,4,35,10,1.84,2.0,0.16,2.87,0.55,0.37,0.18,38,0.08,0.26,0.89,0.68,0.45,0.29,0.21,0.16,0.11,3.68,0.63,0.26,0.21,0.11,0.16,0.89,0.79,0.58,0.47,0.37,0.26,0.16,2.05,0.47,0.47,0.16,0.05,0.37,0.89,0.58,0.32,0.11,0.05,0.05,0.05,1.32,0.29,0.53,0.47,0.18,0.24,0.71,0.39,0.11,0.08,0.03,0.0,0.0,22.0,28.0,15.0,44.0,4.0,9.0,8.0,6.0,10.0,13.0,4.0,13.0,9.0,13.0,2.0,18.0
25,5,18,11,29,19,3,38,11,Tottenham,2013,4,28,9,37,19,5,34,10,1.79,2.0,0.21,2.95,0.71,0.24,0.11,38,0.05,0.18,0.95,0.79,0.66,0.34,0.13,0.05,0.03,2.47,0.63,0.26,0.16,0.11,0.21,0.95,0.68,0.47,0.26,0.05,0.05,0.0,3.42,0.79,0.21,0.05,0.0,0.16,0.95,0.89,0.84,0.42,0.21,0.05,0.05,1.05,0.24,0.61,0.55,0.16,0.21,0.61,0.37,0.05,0.03,0.0,0.0,0.0,18.0,22.0,28.0,44.0,6.0,10.0,6.0,6.0,6.0,6.0,10.0,12.0,7.0,14.0,11.0,18.0
26,6,16,17,33,19,4,33,9,Liverpool,2013,7,27,11,38,19,5,28,7,1.47,1.74,0.27,3.0,0.5,0.42,0.21,38,0.08,0.29,0.87,0.79,0.66,0.45,0.16,0.05,0.03,2.58,0.32,0.58,0.26,0.11,0.42,0.84,0.68,0.53,0.37,0.16,0.0,0.0,3.42,0.68,0.26,0.16,0.05,0.16,0.89,0.89,0.79,0.53,0.16,0.11,0.05,1.39,0.18,0.55,0.47,0.26,0.34,0.79,0.42,0.16,0.03,0.0,0.0,0.0,23.0,30.0,20.0,41.0,4.0,9.0,8.0,12.0,11.0,9.0,6.0,19.0,6.0,14.0,8.0,8.0
27,6,22,12,34,19,4,33,9,West Ham Utd,2013,4,31,-20,11,19,12,13,3,0.68,1.74,1.06,2.58,0.55,0.29,0.29,38,0.16,0.16,0.87,0.71,0.53,0.29,0.13,0.05,0.0,2.95,0.68,0.32,0.11,0.0,0.21,0.89,0.79,0.58,0.42,0.21,0.05,0.0,2.21,0.42,0.26,0.47,0.32,0.11,0.84,0.63,0.47,0.16,0.05,0.05,0.0,1.11,0.13,0.5,0.61,0.37,0.26,0.76,0.29,0.05,0.0,0.0,0.0,0.0,20.0,22.0,33.0,23.0,12.0,4.0,5.0,10.0,3.0,8.0,14.0,6.0,7.0,4.0,12.0,13.0
28,4,25,7,32,19,6,31,9,West Brom,2013,3,32,-11,21,19,11,18,5,0.95,1.63,0.68,2.89,0.58,0.21,0.26,38,0.21,0.16,0.95,0.82,0.61,0.24,0.13,0.05,0.03,3.0,0.63,0.26,0.16,0.11,0.21,0.95,0.79,0.63,0.21,0.16,0.05,0.05,2.79,0.53,0.16,0.37,0.32,0.11,0.95,0.84,0.58,0.26,0.11,0.05,0.0,1.24,0.21,0.45,0.61,0.34,0.18,0.74,0.34,0.11,0.05,0.0,0.0,0.0,29.0,18.0,28.0,35.0,7.0,3.0,9.0,5.0,13.0,10.0,4.0,9.0,9.0,11.0,15.0,15.0
29,7,20,5,25,19,4,31,8,Norwich City,2013,7,38,-22,16,19,10,13,2,0.68,1.63,0.95,2.61,0.55,0.26,0.34,38,0.18,0.11,0.84,0.66,0.47,0.29,0.18,0.08,0.08,2.37,0.53,0.42,0.26,0.05,0.21,0.79,0.58,0.47,0.21,0.11,0.11,0.11,2.84,0.58,0.11,0.42,0.32,0.0,0.89,0.74,0.47,0.37,0.26,0.05,0.05,1.16,0.24,0.5,0.61,0.26,0.16,0.66,0.37,0.11,0.03,0.0,0.0,0.0,26.0,18.0,32.0,23.0,6.0,5.0,8.0,6.0,12.0,7.0,11.0,6.0,8.0,8.0,13.0,9.0
30,7,22,-1,21,19,5,28,7,Stoke City,2013,8,23,-10,13,19,9,14,2,0.74,1.47,0.73,2.08,0.45,0.32,0.39,38,0.24,0.16,0.84,0.58,0.34,0.21,0.05,0.05,0.0,2.26,0.47,0.37,0.32,0.16,0.21,0.84,0.63,0.42,0.26,0.05,0.05,0.0,1.89,0.42,0.26,0.47,0.32,0.11,0.84,0.53,0.26,0.16,0.05,0.05,0.0,0.87,0.16,0.61,0.66,0.24,0.18,0.58,0.18,0.08,0.03,0.0,0.0,0.0,18.0,15.0,27.0,19.0,5.0,8.0,4.0,3.0,9.0,4.0,9.0,7.0,9.0,4.0,9.0,8.0
31,1,31,-7,24,19,9,28,9,Newcastle Utd,2013,7,37,-16,21,19,10,13,2,0.68,1.47,0.79,2.97,0.61,0.16,0.29,38,0.24,0.11,0.95,0.79,0.63,0.24,0.13,0.11,0.05,2.89,0.53,0.21,0.26,0.26,0.21,1.0,0.74,0.68,0.21,0.16,0.11,0.0,3.05,0.68,0.11,0.32,0.21,0.0,0.89,0.84,0.58,0.26,0.11,0.11,0.11,1.13,0.16,0.53,0.61,0.32,0.24,0.71,0.34,0.08,0.0,0.0,0.0,0.0,23.0,20.0,45.0,25.0,8.0,5.0,8.0,6.0,7.0,9.0,14.0,8.0,14.0,7.0,17.0,10.0
32,8,26,2,28,19,5,26,6,Swansea City,2013,5,25,-6,19,19,9,20,5,1.05,1.37,0.32,2.58,0.47,0.26,0.42,38,0.26,0.11,0.84,0.74,0.53,0.29,0.13,0.03,0.03,2.84,0.58,0.26,0.32,0.16,0.11,0.84,0.79,0.63,0.37,0.11,0.05,0.05,2.32,0.37,0.26,0.53,0.37,0.11,0.84,0.68,0.42,0.21,0.16,0.0,0.0,1.03,0.16,0.55,0.74,0.29,0.11,0.55,0.37,0.08,0.03,0.0,0.0,0.0,25.0,14.0,26.0,33.0,3.0,5.0,5.0,5.0,17.0,4.0,7.0,11.0,8.0,11.0,11.0,11.0
33,7,24,2,26,19,6,25,6,Southampton,2013,7,36,-13,23,19,9,16,3,0.84,1.32,0.48,2.87,0.66,0.18,0.24,38,0.16,0.11,0.92,0.79,0.5,0.37,0.18,0.08,0.03,2.63,0.68,0.16,0.21,0.16,0.11,0.95,0.84,0.47,0.26,0.11,0.0,0.0,3.11,0.63,0.21,0.26,0.16,0.11,0.89,0.74,0.53,0.47,0.26,0.16,0.05,1.42,0.32,0.42,0.55,0.26,0.13,0.71,0.39,0.21,0.08,0.03,0.0,0.0,31.0,23.0,29.0,26.0,6.0,7.0,6.0,5.0,19.0,11.0,6.0,9.0,10.0,10.0,13.0,7.0
34,3,30,-2,28,19,9,24,7,Fulham,2013,7,30,-8,22,19,8,19,4,1.0,1.26,0.26,2.89,0.53,0.21,0.32,38,0.26,0.16,0.95,0.74,0.63,0.34,0.16,0.08,0.0,3.05,0.58,0.21,0.21,0.21,0.21,1.0,0.79,0.68,0.37,0.16,0.05,0.0,2.74,0.47,0.21,0.42,0.32,0.11,0.89,0.68,0.58,0.32,0.16,0.11,0.0,1.24,0.16,0.55,0.55,0.29,0.29,0.74,0.29,0.13,0.08,0.0,0.0,0.0,24.0,23.0,36.0,27.0,7.0,6.0,7.0,7.0,10.0,10.0,11.0,5.0,13.0,10.0,12.0,12.0
35,8,19,1,20,19,6,23,5,Sunderland,2013,4,35,-14,21,19,11,16,4,0.84,1.21,0.37,2.5,0.55,0.29,0.26,38,0.16,0.18,0.89,0.68,0.53,0.24,0.08,0.05,0.03,2.05,0.47,0.37,0.26,0.16,0.26,0.89,0.58,0.32,0.16,0.05,0.05,0.0,2.95,0.63,0.21,0.26,0.16,0.11,0.89,0.79,0.74,0.32,0.11,0.05,0.05,1.24,0.21,0.53,0.53,0.26,0.26,0.74,0.34,0.13,0.03,0.0,0.0,0.0,25.0,22.0,29.0,19.0,7.0,3.0,9.0,7.0,9.0,12.0,11.0,4.0,6.0,10.0,12.0,5.0
